#1|lemma	count
ϣⲟⲟⲩⲉ	40
ⲥⲁⲃⲃⲁⲧⲟⲛ	40
ⲇⲏⲙⲟⲥ	39
ⲣⲉϥⲙⲓϣⲉ	39
ϣⲏⲓ	39
ⲙⲉⲛ	39
ⲡⲉⲧ	39
ϩⲱⲟⲩ	39
ⲃⲁⲓϣⲓⲛⲉ	39
ϩⲓⲉⲓⲃ	39
ⲁⲙⲁⲗⲏⲕ	39
ⲥⲟ	38
ⲛⲧϥ	38
ϯϩⲧⲏ	38
ϯⲥⲃⲱ	38
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ	38
ⲥⲱⲛⲉ	38
ⲟⲓⲕⲟⲩⲙⲉⲛⲏ	38
ϣⲟⲙⲧⲉ	38
ⲃⲟⲏⲑⲟⲥ	38
ⲙⲟⲕⲙⲉⲕ	37
ϩⲱⲱ_ⲁⲛⲟⲕ	37
ⲁⲩ	37
ⲇⲁⲛ	37
ϭⲱⲣϭ	37
ⲛⲟⲩⲛ	37
ⲉⲍⲉⲕⲓⲁⲥ	37
ϩⲓⲉⲣⲓⲭⲱ	37
ⲧⲁⲛϩⲟⲩⲧ	37
ⲡⲁⲣⲑⲉⲛⲟⲥ	36
ⲁϩⲉ	36
ⲥⲟϭ	36
ϩⲓϩⲏ	36
ⲁⲃⲱⲕ	36
ⲁⲩⲗⲏ	36
ⲃⲉⲕⲉ	36
ⲙⲓⲛⲉ	36
ⲃⲁⲁⲙⲡⲉ	36
ⲭⲁⲛⲁⲁⲛ	35
ⲉϥ	35
ⲧⲛϩ	35
ⲙⲁⲁⲃ	35
ⲡⲓⲧⲉ	35
ⲥⲛⲧⲉ	35
ϣⲉⲗⲉⲉⲧ	35
ϩⲁϩⲧⲛ	35
ϩⲏⲅⲉⲙⲱⲛ	35
ⲁϣⲕⲁⲕ	35
ⲥⲧⲟⲗⲏ	34
ⲥⲁⲙⲯⲱⲛ	34
ⲉⲡⲓⲕⲁⲗⲉⲓ	34
ϫⲓⲙⲟⲉⲓⲧ	34
ϣⲁϩ	34
ϣⲱⲥ	34
ⲱϩⲧ	34
ⲉⲓⲃ	34
ⲧⲱϩ	34
ⲱⲥⲕ	34
ϩⲧⲏϥ	34
ⲁⲣⲏϫ	34
ⲏⲥⲁⲩ	34
ⲕⲗⲟⲙ	34
ⲥⲓϣⲉ	34
ⲟⲩⲁⲁ	34
ⲙⲛⲧⲁⲧϩⲏⲧ	34
ⲙⲉϩⲥⲁϣϥ	34
ϩⲟⲣⲁⲥⲓⲥ	33
ⲉⲛⲕⲟⲧⲕ	33
ⲣⲁⲥⲟⲩ	33
ⲥⲟⲗⲥⲗ	33
ⲙⲉⲗⲉⲧⲁ	33
ⲙⲛⲧⲕⲟⲩⲓ	33
……	33
ⲟⲟϩ	33
ϣⲧⲏⲛ	33
ⲙⲗⲁϩ	33
ⲣⲃⲟⲗ	33
ⲃⲏⲑⲗⲉⲉⲙ	33
ϣⲟⲩϩⲏⲛⲉ	33
ϭⲓⲃⲱⲧⲟⲥ	33
ⲅⲉⲇⲉⲱⲛ	32
ⲉⲣⲱⲧⲉ	32
ⲛⲁϣⲧⲉ	32
ⲧⲁⲛϩⲟ	32
ⲱϥⲉ	32
ⲡⲁϣ	32
ⲧⲣⲁ	32
ⲧⲥⲟ	32
ϩⲁⲧⲏ	32
ⲑⲙⲕⲟ	32
ⲗⲩⲡⲏ	32
ϭⲟⲟⲩⲛⲉ	32
ϩⲁⲣⲁⲧ	32
ϩⲁⲧⲏⲩ	32
ϯⲉⲟⲟⲩ	32
ⲣⲁⲧ_ⲁⲛⲟⲕ	32
ⲃⲟⲏⲑⲓⲁ	32
ⲙⲟⲩⲛⲅ	31
ⲥⲕⲉⲩⲏ	31
ⲕⲣⲓⲧⲏⲥ	31
ϫⲁⲥⲓϩⲏⲧ	31
ⲁⲁⲥ	31
ϭⲱⲧⲡ	31
ⲉⲙⲛⲧ	31
ⲙⲁⲕϩ	31
ⲛⲟⲉⲓ	31
ϣⲁⲃⲟⲗ	31
ϭⲟⲣϭⲥ	31
ⲙⲁⲣⲧⲩⲣⲓⲟⲛ	31
ⲙⲉⲣⲓⲧ	30
ⲛⲁⲁⲕⲉ	30
ⲟⲩⲱⲗⲥ	30
ⲥⲁⲁⲛϣ	30
